Transaction ID,Filtered Transaction
TranC1,"Garden Supplies, Canned Foods"
TranC2,"Tires, Optical Items, Packaged Foods"
TranC3,"Canned Foods, Cleaning Supplies"
TranC4,"Jewelry, Canned Foods, Packaged Foods, Optical Items"
TranC5,"Jewelry, Garden Supplies, Optical Items, Tires"
TranC6,Garden Supplies
TranC7,"Packaged Foods, Cleaning Supplies, Bakery Items"
TranC8,"Optical Items, Bakery Items, Garden Supplies, Optical Items"
TranC9,Optical Items
TranC10,"Canned Foods, Optical Items, Bulk Fruits, Garden Supplies"
TranC11,"Garden Supplies, Canned Foods, Bakery Items"
TranC12,Bulk Fruits
TranC13,"Packaged Foods, Cleaning Supplies, Tires, Bulk Fruits, Jewelry"
TranC14,"Bakery Items, Tires, Cleaning Supplies"
TranC15,Garden Supplies
TranC16,"Garden Supplies, Canned Foods, Tires, Bulk Fruits, Optical Items"
TranC17,"Packaged Foods, Bulk Fruits, Bakery Items, Tires, Canned Foods"
TranC18,Tires
TranC19,Bakery Items
TranC20,"Tires, Optical Items, Bulk Fruits, Jewelry"
TranC21,"Bulk Fruits, Optical Items, Tires, Garden Supplies, Packaged Foods"
TranC22,"Jewelry, Bulk Fruits, Optical Items"
TranC23,Optical Items
TranC24,"Optical Items, Packaged Foods, Jewelry, Cleaning Supplies, Bakery Items"
TranC25,"Jewelry, Bulk Fruits, Optical Items, Cleaning Supplies"
TranC26,"Cleaning Supplies, Optical Items"
TranC27,"Optical Items, Garden Supplies, Bulk Fruits"
TranC28,"Jewelry, Optical Items, Optical Items, Bulk Fruits, Bakery Items"
TranC29,Canned Foods
TranC30,Tires
TranC31,"Garden Supplies, Tires"
TranC32,"Packaged Foods, Jewelry"
TranC33,"Bakery Items, Cleaning Supplies, Jewelry"
TranC34,"Garden Supplies, Cleaning Supplies, Optical Items, Jewelry"
TranC35,"Jewelry, Cleaning Supplies, Optical Items, Bulk Fruits"
TranC36,"Tires, Optical Items, Packaged Foods"
TranC37,"Garden Supplies, Bulk Fruits, Canned Foods"
TranC38,"Bulk Fruits, Bakery Items"
TranC39,"Jewelry, Garden Supplies"
TranC40,"Optical Items, Packaged Foods, Canned Foods, Bakery Items"
TranC41,"Bakery Items, Garden Supplies, Tires, Canned Foods"
TranC42,"Canned Foods, Optical Items"
TranC43,"Optical Items, Optical Items, Garden Supplies, Bakery Items, Canned Foods"
TranC44,"Bakery Items, Bulk Fruits, Optical Items, Canned Foods"
TranC45,"Tires, Jewelry, Bakery Items"
TranC46,"Bakery Items, Cleaning Supplies, Canned Foods"
TranC47,"Garden Supplies, Bakery Items, Optical Items, Cleaning Supplies"
TranC48,"Optical Items, Garden Supplies, Bulk Fruits, Packaged Foods, Tires"
TranC49,"Packaged Foods, Garden Supplies, Bulk Fruits, Optical Items, Jewelry"
TranC50,"Canned Foods, Cleaning Supplies, Packaged Foods, Tires"
TranC51,Bulk Fruits
TranC52,"Bulk Fruits, Canned Foods, Cleaning Supplies"
TranC53,"Packaged Foods, Bulk Fruits"
TranC54,"Canned Foods, Bulk Fruits, Packaged Foods"
TranC55,"Garden Supplies, Canned Foods, Jewelry"
TranC56,"Bulk Fruits, Cleaning Supplies, Jewelry, Packaged Foods"
TranC57,"Optical Items, Optical Items, Canned Foods"
TranC58,Optical Items
TranC59,"Canned Foods, Optical Items, Tires"
TranC60,"Bakery Items, Optical Items, Garden Supplies, Packaged Foods, Jewelry"
TranC61,"Packaged Foods, Bulk Fruits"
TranC62,"Packaged Foods, Optical Items, Bulk Fruits, Optical Items"
TranC63,"Optical Items, Optical Items"
TranC64,"Jewelry, Garden Supplies, Cleaning Supplies, Canned Foods, Tires"
TranC65,"Bakery Items, Canned Foods, Jewelry"
TranC66,Bakery Items
TranC67,"Jewelry, Optical Items, Packaged Foods"
TranC68,"Garden Supplies, Cleaning Supplies, Jewelry, Bulk Fruits"
TranC69,"Bulk Fruits, Tires, Jewelry, Optical Items, Optical Items"
TranC70,"Tires, Optical Items, Optical Items"
TranC71,"Optical Items, Garden Supplies, Optical Items"
TranC72,Bulk Fruits
TranC73,Jewelry
TranC74,Packaged Foods
TranC75,"Optical Items, Canned Foods, Jewelry, Garden Supplies, Tires"
