Transaction ID,Filtered Transaction
TranK1,"Beauty Products, Sports Equipment, Home Appliances, Footwear"
TranK2,"Home Appliances, Beauty Products, Pet Supplies"
TranK3,Pet Supplies
TranK4,"Toys, Home Appliances, Sports Equipment, Furniture, Clothing"
TranK5,"Beauty Products, Home Appliances, Pet Supplies, Furniture"
TranK6,"Home Appliances, Clothing, Footwear, Electronics, Beauty Products"
TranK7,Pet Supplies
TranK8,"Beauty Products, Footwear, Jewelry, Toys, Pet Supplies"
TranK9,"Sports Equipment, Beauty Products, Clothing, Electronics, Toys"
TranK10,Jewelry
TranK11,"Toys, Footwear, Jewelry, Furniture"
TranK12,"Furniture, Beauty Products, Jewelry"
TranK13,Footwear
TranK14,"Clothing, Home Appliances"
TranK15,Home Appliances
TranK16,"Toys, Clothing, Furniture, Electronics, Home Appliances"
TranK17,"Jewelry, Toys, Pet Supplies, Home Appliances, Electronics"
TranK18,"Clothing, Electronics, Footwear, Jewelry"
TranK19,Electronics
TranK20,Home Appliances
TranK21,"Toys, Beauty Products, Clothing"
TranK22,"Jewelry, Furniture, Sports Equipment, Clothing, Toys"
TranK23,"Electronics, Sports Equipment"
TranK24,"Toys, Jewelry, Footwear, Furniture"
TranK25,"Jewelry, Beauty Products, Electronics"
TranK26,"Sports Equipment, Pet Supplies, Jewelry, Footwear, Beauty Products"
TranK27,Home Appliances
TranK28,"Jewelry, Sports Equipment, Pet Supplies, Toys, Beauty Products"
TranK29,"Jewelry, Clothing"
TranK30,"Electronics, Beauty Products, Clothing"
TranK31,"Clothing, Footwear, Furniture, Beauty Products, Sports Equipment"
TranK32,Jewelry
TranK33,"Sports Equipment, Home Appliances, Electronics, Beauty Products, Jewelry"
TranK34,"Toys, Furniture, Footwear, Beauty Products, Sports Equipment"
TranK35,"Furniture, Electronics, Beauty Products, Clothing, Footwear"
TranK36,"Beauty Products, Electronics, Jewelry, Clothing"
TranK37,"Sports Equipment, Beauty Products, Furniture, Pet Supplies"
TranK38,"Electronics, Footwear"
TranK39,"Clothing, Jewelry, Sports Equipment"
TranK40,"Pet Supplies, Clothing, Footwear, Beauty Products, Jewelry"
TranK41,"Sports Equipment, Footwear, Toys, Furniture, Electronics"
TranK42,"Toys, Clothing"
