Transaction ID,Filtered Transaction
TranS71,"Cigarettes, Snacks, Gum, Energy Drinks, Batteries"
TranS72,"Snacks, Magazine"
TranS73,"Cigarettes, Batteries, Candy, Energy Drinks"
TranS74,Magazine
TranS75,"Candy, Snacks, Cigarettes, Batteries, Gum"
TranS76,"Milk, Batteries, Candy"
TranS77,"Snacks, Magazine, Energy Drinks"
TranS78,Magazine
TranS79,Magazine
TranS710,"Batteries, Milk, Toiletries, Gum"
TranS711,"Milk, Batteries, Soft Drinks, Candy"
TranS712,"Snacks, Gum, Candy, Toiletries"
TranS713,"Soft Drinks, Batteries, Toiletries, Gum"
TranS714,"Cigarettes, Snacks"
TranS715,Milk
TranS716,Toiletries
TranS717,"Milk, Gum, Energy Drinks, Candy, Snacks"
TranS718,"Milk, Magazine, Batteries"
TranS719,"Energy Drinks, Cigarettes, Gum, Snacks"
TranS720,"Batteries, Magazine, Energy Drinks, Gum"
TranS721,"Snacks, Milk, Gum, Batteries, Cigarettes"
TranS722,"Energy Drinks, Soft Drinks"
TranS723,Gum
TranS724,"Candy, Energy Drinks, Toiletries, Snacks, Magazine"
TranS725,"Cigarettes, Batteries"
TranS726,Toiletries
TranS727,"Snacks, Milk, Soft Drinks, Magazine"
TranS728,Magazine
TranS729,"Gum, Soft Drinks, Candy, Cigarettes, Snacks"
TranS730,"Cigarettes, Soft Drinks, Milk, Toiletries, Snacks"
TranS731,"Toiletries, Energy Drinks, Batteries, Candy, Gum"
TranS732,"Snacks, Magazine, Milk, Gum, Candy"
TranS733,"Soft Drinks, Toiletries, Candy, Milk"
TranS734,"Magazine, Toiletries"
TranS735,"Gum, Cigarettes, Toiletries, Magazine, Milk"
TranS736,Candy
TranS737,"Gum, Cigarettes"
TranS738,"Gum, Candy, Magazine"
TranS739,Energy Drinks
TranS740,"Gum, Soft Drinks, Energy Drinks, Snacks"
TranS741,"Snacks, Toiletries, Magazine, Soft Drinks"
TranS742,"Candy, Cigarettes"
TranS743,Batteries
TranS744,"Energy Drinks, Gum, Snacks, Batteries, Toiletries"
TranS745,"Gum, Soft Drinks, Milk, Magazine, Energy Drinks"
TranS746,"Milk, Cigarettes, Energy Drinks"
TranS747,"Soft Drinks, Milk"
TranS748,Cigarettes
TranS749,"Cigarettes, Soft Drinks"
TranS750,"Gum, Energy Drinks"
TranS751,"Milk, Batteries, Magazine, Toiletries"
TranS752,Magazine
TranS753,"Batteries, Magazine"
TranS754,"Cigarettes, Soft Drinks"
TranS755,"Soft Drinks, Magazine"
TranS756,"Candy, Batteries, Milk"
TranS757,"Candy, Toiletries, Magazine"
TranS758,Cigarettes
TranS759,"Gum, Toiletries, Energy Drinks"
TranS760,"Candy, Gum, Toiletries, Snacks, Batteries"
TranS761,"Gum, Magazine, Candy"
TranS762,"Snacks, Toiletries"
TranS763,Magazine
TranS764,"Milk, Gum, Batteries"
TranS765,"Snacks, Soft Drinks"
TranS766,"Candy, Batteries, Snacks, Gum, Magazine"
TranS767,"Candy, Snacks, Energy Drinks, Cigarettes, Gum"
TranS768,"Snacks, Cigarettes, Batteries, Energy Drinks"
TranS769,Cigarettes
TranS770,Snacks
TranS771,"Snacks, Soft Drinks, Gum, Batteries"
TranS772,"Candy, Cigarettes, Milk, Toiletries"
TranS773,"Batteries, Energy Drinks, Candy"
TranS774,Energy Drinks
TranS775,Toiletries
TranS776,Candy
TranS777,"Candy, Snacks, Cigarettes, Toiletries, Milk"
TranS778,"Energy Drinks, Milk, Toiletries"
TranS779,"Batteries, Energy Drinks"
TranS780,"Milk, Cigarettes, Gum, Magazine, Batteries"
TranS781,"Toiletries, Cigarettes, Energy Drinks, Snacks"
TranS782,"Snacks, Soft Drinks, Toiletries, Milk, Batteries"
TranS783,"Cigarettes, Magazine, Energy Drinks"
TranS784,"Energy Drinks, Cigarettes, Batteries, Candy, Snacks"
TranS785,"Milk, Soft Drinks, Candy"
TranS786,"Gum, Magazine"
TranS787,"Candy, Soft Drinks, Batteries"
TranS788,"Milk, Energy Drinks, Batteries"
TranS789,"Snacks, Toiletries"
TranS790,"Cigarettes, Energy Drinks, Candy, Milk"
TranS791,"Snacks, Candy, Soft Drinks"
TranS792,"Toiletries, Energy Drinks, Milk"
TranS793,Batteries
TranS794,"Candy, Snacks, Magazine, Cigarettes"
TranS795,"Soft Drinks, Cigarettes, Magazine, Gum"
TranS796,"Magazine, Milk, Energy Drinks"
TranS797,"Soft Drinks, Batteries"
TranS798,"Energy Drinks, Milk, Magazine"
TranS799,"Milk, Batteries, Gum, Toiletries"
TranS7100,"Batteries, Gum, Milk, Toiletries, Soft Drinks"
TranS7101,Energy Drinks
TranS7102,"Soft Drinks, Magazine, Toiletries, Cigarettes, Candy"
TranS7103,"Snacks, Milk, Cigarettes"
TranS7104,"Cigarettes, Gum, Snacks, Toiletries"
TranS7105,"Gum, Energy Drinks, Candy, Toiletries, Magazine"
TranS7106,"Batteries, Cigarettes"
TranS7107,Toiletries
TranS7108,"Soft Drinks, Magazine, Milk"
TranS7109,"Magazine, Snacks"
TranS7110,Snacks
TranS7111,Soft Drinks
TranS7112,"Toiletries, Magazine, Gum, Batteries, Milk"
TranS7113,"Toiletries, Energy Drinks, Soft Drinks"
TranS7114,"Toiletries, Snacks, Magazine, Cigarettes"
TranS7115,"Batteries, Energy Drinks, Soft Drinks, Cigarettes, Toiletries"
TranS7116,"Candy, Snacks, Magazine"
TranS7117,"Snacks, Gum, Energy Drinks, Batteries"
TranS7118,"Soft Drinks, Toiletries, Gum, Magazine, Energy Drinks"
TranS7119,Snacks
TranS7120,"Snacks, Batteries, Gum"
TranS7121,"Soft Drinks, Snacks"
TranS7122,Toiletries
TranS7123,"Milk, Magazine, Batteries, Gum, Toiletries"
TranS7124,"Cigarettes, Toiletries, Magazine"
TranS7125,Energy Drinks
TranS7126,"Cigarettes, Milk, Candy, Gum"
TranS7127,"Energy Drinks, Candy, Milk, Magazine, Snacks"
TranS7128,"Soft Drinks, Candy, Batteries, Toiletries, Milk"
TranS7129,Soft Drinks
TranS7130,Snacks
TranS7131,"Energy Drinks, Candy, Milk, Cigarettes, Soft Drinks"
TranS7132,"Energy Drinks, Magazine, Toiletries, Milk"
TranS7133,"Candy, Energy Drinks, Cigarettes"
TranS7134,"Energy Drinks, Magazine, Batteries"
TranS7135,"Cigarettes, Batteries, Gum"
TranS7136,"Cigarettes, Batteries, Snacks, Energy Drinks, Toiletries"
TranS7137,"Milk, Soft Drinks, Batteries, Candy"
TranS7138,"Energy Drinks, Gum"
TranS7139,"Toiletries, Soft Drinks"
TranS7140,"Energy Drinks, Magazine"
TranS7141,"Batteries, Magazine, Candy"
TranS7142,"Candy, Soft Drinks"
TranS7143,"Batteries, Toiletries, Gum, Candy"
TranS7144,"Soft Drinks, Cigarettes, Snacks, Candy"
TranS7145,"Candy, Soft Drinks"
TranS7146,Energy Drinks
TranS7147,"Energy Drinks, Cigarettes, Magazine, Gum, Snacks"
TranS7148,Magazine
TranS7149,"Cigarettes, Milk, Toiletries"
TranS7150,"Snacks, Toiletries, Candy"
TranS7151,"Energy Drinks, Gum, Toiletries, Candy, Batteries"
TranS7152,"Energy Drinks, Cigarettes"
TranS7153,"Candy, Snacks, Soft Drinks, Batteries"
TranS7154,"Energy Drinks, Milk, Snacks"
TranS7155,"Milk, Batteries, Snacks, Energy Drinks"
TranS7156,"Soft Drinks, Cigarettes"
TranS7157,"Soft Drinks, Gum, Energy Drinks"
TranS7158,"Candy, Toiletries"
TranS7159,"Batteries, Gum, Snacks, Energy Drinks"
TranS7160,"Energy Drinks, Gum, Batteries"
TranS7161,"Gum, Cigarettes"
TranS7162,"Soft Drinks, Milk"
TranS7163,"Candy, Energy Drinks, Snacks"
TranS7164,"Gum, Toiletries, Energy Drinks"
TranS7165,Candy
TranS7166,"Milk, Batteries, Energy Drinks, Magazine, Gum"
TranS7167,"Energy Drinks, Toiletries, Snacks, Soft Drinks, Candy"
TranS7168,"Cigarettes, Milk, Magazine"
TranS7169,"Soft Drinks, Magazine, Batteries"
TranS7170,Batteries
TranS7171,"Batteries, Milk"
TranS7172,"Gum, Milk, Batteries"
TranS7173,"Cigarettes, Batteries, Candy, Gum"
TranS7174,"Gum, Toiletries, Candy, Milk, Magazine"
TranS7175,Snacks
TranS7176,Batteries
TranS7177,Soft Drinks
TranS7178,"Batteries, Soft Drinks, Cigarettes"
TranS7179,"Energy Drinks, Soft Drinks, Magazine, Cigarettes, Gum"
TranS7180,"Batteries, Snacks, Soft Drinks, Gum"
TranS7181,Magazine
TranS7182,"Soft Drinks, Cigarettes"
TranS7183,"Soft Drinks, Energy Drinks, Candy"
TranS7184,"Magazine, Cigarettes, Batteries, Snacks"
TranS7185,"Energy Drinks, Batteries"
TranS7186,"Milk, Magazine, Soft Drinks"
TranS7187,"Toiletries, Snacks, Milk, Magazine"
TranS7188,"Snacks, Gum"
TranS7189,"Soft Drinks, Cigarettes, Gum"
TranS7190,"Candy, Cigarettes, Gum, Magazine, Soft Drinks"
TranS7191,"Magazine, Gum, Soft Drinks, Candy, Snacks"
TranS7192,"Snacks, Magazine"
TranS7193,"Milk, Batteries, Gum"
TranS7194,Magazine
TranS7195,Milk
TranS7196,"Milk, Snacks, Soft Drinks, Candy, Gum"
TranS7197,"Toiletries, Snacks"
TranS7198,"Toiletries, Candy, Batteries, Milk"
TranS7199,"Candy, Cigarettes, Milk"
TranS7200,"Batteries, Gum, Toiletries, Snacks, Magazine"
TranS7201,"Candy, Batteries, Energy Drinks, Milk, Toiletries"
TranS7202,"Candy, Magazine, Snacks, Soft Drinks, Gum"
TranS7203,"Batteries, Candy"
TranS7204,"Candy, Toiletries, Magazine"
TranS7205,"Gum, Candy, Cigarettes"
