Transaction ID,Filtered Transaction
TranS1,"Household Cleaning Products, Personal Care Products"
TranS2,"Household Cleaning Products, Meat, Personal Care Products"
TranS3,"Dairy, Snacks, Vegetables, Personal Care Products, Bread"
TranS4,"Snacks, Personal Care Products"
TranS5,"Personal Care Products, Frozen Foods, Vegetables"
TranS6,"Canned Goods, Frozen Foods, Dairy, Meat, Bakery Items"
TranS7,"Personal Care Products, Vegetables, Household Cleaning Products, Bread"
TranS8,"Vegetables, Household Cleaning Products, Personal Care Products"
TranS9,"Personal Care Products, Meat, Vegetables, Bakery Items"
TranS10,"Frozen Foods, Household Cleaning Products, Canned Goods, Snacks, Dairy"
TranS11,"Snacks, Dairy, Personal Care Products, Meat"
TranS12,"Bakery Items, Household Cleaning Products"
TranS13,"Bread, Dairy, Snacks, Household Cleaning Products, Frozen Foods"
TranS14,"Dairy, Canned Goods, Bakery Items"
TranS15,Canned Goods
TranS16,"Frozen Foods, Meat, Vegetables, Canned Goods"
TranS17,Vegetables
TranS18,"Bakery Items, Bread, Snacks, Household Cleaning Products"
TranS19,"Dairy, Vegetables, Snacks, Meat"
TranS20,"Frozen Foods, Meat, Canned Goods, Dairy, Bread"
TranS21,"Personal Care Products, Bread, Vegetables, Household Cleaning Products"
TranS22,"Meat, Frozen Foods"
TranS23,"Meat, Vegetables, Frozen Foods, Snacks"
TranS24,"Vegetables, Meat"
TranS25,"Vegetables, Frozen Foods, Bakery Items, Dairy, Snacks"
TranS26,"Snacks, Canned Goods, Dairy, Personal Care Products, Meat"
TranS27,"Dairy, Household Cleaning Products, Bakery Items, Meat"
TranS28,Snacks
TranS29,"Household Cleaning Products, Meat, Dairy"
TranS30,"Canned Goods, Frozen Foods"
TranS31,"Meat, Frozen Foods, Vegetables"
TranS32,"Household Cleaning Products, Canned Goods, Bakery Items, Dairy"
TranS33,"Frozen Foods, Canned Goods, Dairy"
TranS34,"Personal Care Products, Vegetables, Meat, Canned Goods, Frozen Foods"
TranS35,"Household Cleaning Products, Frozen Foods, Bakery Items"
TranS36,"Canned Goods, Vegetables, Household Cleaning Products, Bakery Items, Frozen Foods"
TranS37,"Snacks, Personal Care Products"
TranS38,"Vegetables, Bread, Meat, Bakery Items, Snacks"
TranS39,"Bread, Dairy, Canned Goods, Meat, Frozen Foods"
TranS40,Bread
TranS41,Dairy
TranS42,"Bread, Bakery Items, Meat, Household Cleaning Products"
TranS43,"Personal Care Products, Snacks"
TranS44,"Household Cleaning Products, Frozen Foods"
TranS45,Vegetables
TranS46,Frozen Foods
TranS47,"Household Cleaning Products, Frozen Foods, Bread"
TranS48,"Bakery Items, Vegetables, Bread"
TranS49,"Snacks, Frozen Foods, Meat"
TranS50,"Meat, Vegetables, Snacks, Canned Goods"
TranS51,"Bakery Items, Snacks"
TranS52,"Bread, Household Cleaning Products, Bakery Items, Snacks"
TranS53,"Dairy, Bread, Frozen Foods"
TranS54,"Household Cleaning Products, Dairy, Bakery Items"
TranS55,"Bakery Items, Frozen Foods, Personal Care Products, Vegetables, Meat"
TranS56,Snacks
TranS57,"Vegetables, Snacks, Personal Care Products, Canned Goods"
TranS58,"Household Cleaning Products, Canned Goods, Frozen Foods"
TranS59,"Bakery Items, Vegetables, Frozen Foods, Dairy"
TranS60,Canned Goods
TranS61,"Snacks, Personal Care Products, Meat, Frozen Foods"
TranS62,"Bread, Personal Care Products, Frozen Foods, Dairy"
TranS63,Frozen Foods
TranS64,"Dairy, Bakery Items, Vegetables, Snacks, Canned Goods"
TranS65,"Bakery Items, Dairy, Frozen Foods"
TranS66,"Household Cleaning Products, Bread"
TranS67,"Vegetables, Meat, Household Cleaning Products, Bread"
TranS68,Snacks
TranS69,"Meat, Dairy"
TranS70,"Frozen Foods, Bread, Household Cleaning Products"
TranS71,"Snacks, Bread, Frozen Foods"
TranS72,"Meat, Canned Goods, Snacks"
TranS73,"Bread, Snacks"
TranS74,"Vegetables, Dairy"
TranS75,"Meat, Household Cleaning Products, Frozen Foods, Dairy, Personal Care Products"
TranS76,"Bakery Items, Snacks"
TranS77,Vegetables
TranS78,"Vegetables, Household Cleaning Products"
TranS79,"Vegetables, Frozen Foods, Meat, Dairy, Household Cleaning Products"
TranS80,"Bread, Frozen Foods"
TranS81,Canned Goods
TranS82,"Household Cleaning Products, Snacks, Frozen Foods"
TranS83,Meat
TranS84,"Bakery Items, Meat, Personal Care Products, Frozen Foods, Dairy"
TranS85,"Dairy, Vegetables, Household Cleaning Products, Meat"
TranS86,"Vegetables, Dairy, Frozen Foods"
TranS87,Snacks
TranS88,"Frozen Foods, Canned Goods, Dairy"
TranS89,"Bakery Items, Vegetables, Canned Goods"
TranS90,Household Cleaning Products
TranS91,Canned Goods
TranS92,"Household Cleaning Products, Meat"
TranS93,"Personal Care Products, Bakery Items"
TranS94,Snacks
TranS95,"Meat, Frozen Foods, Canned Goods, Bread"
TranS96,Frozen Foods
TranS97,Meat
TranS98,"Bakery Items, Dairy, Vegetables"
TranS99,"Bread, Personal Care Products, Snacks, Frozen Foods, Dairy"
TranS100,Bakery Items
TranS101,"Bread, Dairy"
TranS102,"Personal Care Products, Canned Goods"
TranS103,"Vegetables, Household Cleaning Products, Canned Goods"
TranS104,"Personal Care Products, Bread, Meat"
TranS105,"Frozen Foods, Personal Care Products"
TranS106,"Meat, Vegetables, Snacks, Bread, Household Cleaning Products"
TranS107,"Personal Care Products, Meat, Bread, Snacks, Canned Goods"
TranS108,"Personal Care Products, Household Cleaning Products, Canned Goods, Dairy"
TranS109,"Bread, Meat, Bakery Items, Vegetables"
TranS110,Personal Care Products
TranS111,"Snacks, Bakery Items, Bread, Household Cleaning Products, Vegetables"
TranS112,Meat
TranS113,"Bakery Items, Canned Goods, Household Cleaning Products, Meat, Frozen Foods"
TranS114,"Canned Goods, Dairy, Personal Care Products, Vegetables, Frozen Foods"
TranS115,Bread
TranS116,"Bread, Bakery Items, Dairy, Frozen Foods"
TranS117,"Vegetables, Household Cleaning Products"
TranS118,"Bread, Canned Goods, Meat, Bakery Items, Snacks"
TranS119,"Vegetables, Dairy, Meat, Canned Goods"
TranS120,"Dairy, Frozen Foods"
TranS121,Bread
TranS122,Canned Goods
TranS123,"Dairy, Canned Goods, Meat, Snacks, Vegetables"
TranS124,"Frozen Foods, Dairy, Bread"
TranS125,"Frozen Foods, Vegetables"
TranS126,"Meat, Vegetables"
TranS127,"Dairy, Vegetables, Household Cleaning Products"
TranS128,"Bread, Dairy"
TranS129,"Canned Goods, Dairy"
TranS130,"Frozen Foods, Bread, Vegetables, Meat, Snacks"
TranS131,"Bread, Vegetables, Bakery Items, Canned Goods"
TranS132,"Vegetables, Bakery Items, Canned Goods, Household Cleaning Products"
TranS133,"Bread, Household Cleaning Products, Personal Care Products"
TranS134,"Vegetables, Frozen Foods, Snacks, Bread"
TranS135,"Bread, Canned Goods, Dairy"
TranS136,"Snacks, Household Cleaning Products, Personal Care Products, Canned Goods, Meat"
