Transaction ID,Filtered Transaction
TranT1,"Beauty Products, Bedding, Gardening Supplies, Electronics"
TranT2,"Groceries, Gardening Supplies, Cleaning Supplies, Bedding"
TranT3,"Furniture, Electronics, Groceries, Gardening Supplies, Bedding"
TranT4,"Furniture, Cleaning Supplies, Clothes"
TranT5,"Furniture, Clothes, Bedding, Groceries, Electronics"
TranT6,"Clothes, Gardening Supplies, Stationery, Toys"
TranT7,"Cleaning Supplies, Toys"
TranT8,"Stationery, Cleaning Supplies, Electronics, Gardening Supplies, Clothes"
TranT9,"Stationery, Groceries"
TranT10,"Groceries, Electronics, Gardening Supplies, Furniture, Beauty Products"
TranT11,"Gardening Supplies, Furniture, Electronics, Stationery, Groceries"
TranT12,"Electronics, Stationery, Cleaning Supplies, Toys, Bedding"
TranT13,"Gardening Supplies, Beauty Products, Toys"
TranT14,Toys
TranT15,"Groceries, Toys, Cleaning Supplies, Stationery"
TranT16,"Furniture, Electronics, Toys, Beauty Products"
TranT17,"Clothes, Cleaning Supplies, Toys"
TranT18,"Groceries, Gardening Supplies, Electronics"
TranT19,"Beauty Products, Electronics, Toys"
TranT20,"Furniture, Groceries, Beauty Products, Stationery"
TranT21,Furniture
TranT22,"Cleaning Supplies, Electronics, Furniture, Groceries, Beauty Products"
TranT23,"Bedding, Groceries, Toys, Electronics, Stationery"
TranT24,Electronics
TranT25,"Furniture, Cleaning Supplies, Gardening Supplies, Electronics"
TranT26,Bedding
TranT27,Beauty Products
TranT28,"Cleaning Supplies, Stationery, Electronics"
TranT29,"Gardening Supplies, Toys, Clothes, Bedding"
TranT30,"Bedding, Stationery, Groceries, Clothes, Furniture"
TranT31,"Electronics, Clothes, Toys, Groceries"
TranT32,Bedding
TranT33,"Cleaning Supplies, Electronics, Stationery, Gardening Supplies"
TranT34,"Toys, Furniture, Cleaning Supplies"
TranT35,"Cleaning Supplies, Stationery"
TranT36,"Electronics, Beauty Products"
TranT37,"Bedding, Toys, Electronics, Groceries"
TranT38,Cleaning Supplies
TranT39,"Stationery, Clothes"
TranT40,"Beauty Products, Clothes"
TranT41,"Beauty Products, Gardening Supplies, Cleaning Supplies, Furniture, Stationery"
TranT42,Groceries
TranT43,"Toys, Cleaning Supplies, Beauty Products, Stationery, Electronics"
TranT44,"Stationery, Electronics, Cleaning Supplies, Furniture"
TranT45,Clothes
TranT46,"Groceries, Toys, Cleaning Supplies, Gardening Supplies"
TranT47,"Gardening Supplies, Furniture, Groceries, Beauty Products, Stationery"
TranT48,"Toys, Cleaning Supplies, Groceries, Clothes, Stationery"
TranT49,"Cleaning Supplies, Electronics, Stationery, Beauty Products, Groceries"
TranT50,"Bedding, Gardening Supplies, Beauty Products"
TranT51,"Electronics, Cleaning Supplies, Gardening Supplies"
TranT52,"Gardening Supplies, Stationery, Toys, Furniture"
TranT53,"Toys, Clothes, Furniture"
TranT54,"Beauty Products, Toys, Clothes, Electronics"
TranT55,Toys
TranT56,"Furniture, Stationery, Gardening Supplies"
TranT57,"Beauty Products, Toys, Clothes, Electronics, Cleaning Supplies"
TranT58,"Gardening Supplies, Cleaning Supplies"
TranT59,"Bedding, Stationery, Groceries, Cleaning Supplies"
TranT60,"Groceries, Stationery, Cleaning Supplies, Clothes, Gardening Supplies"
TranT61,"Groceries, Gardening Supplies, Stationery, Toys"
TranT62,"Furniture, Electronics, Gardening Supplies, Bedding"
TranT63,"Electronics, Cleaning Supplies, Toys"
TranT64,"Groceries, Furniture, Electronics"
TranT65,"Furniture, Beauty Products"
TranT66,"Furniture, Toys"
TranT67,"Furniture, Toys, Beauty Products"
TranT68,"Bedding, Gardening Supplies, Toys, Groceries"
TranT69,"Toys, Beauty Products, Clothes, Stationery, Furniture"
TranT70,"Electronics, Cleaning Supplies, Beauty Products"
TranT71,"Gardening Supplies, Toys, Furniture, Cleaning Supplies"
TranT72,"Bedding, Groceries, Beauty Products"
TranT73,"Electronics, Furniture, Beauty Products, Clothes"
TranT74,"Furniture, Cleaning Supplies, Bedding, Clothes"
TranT75,"Groceries, Stationery, Beauty Products, Bedding, Toys"
TranT76,Bedding
TranT77,Beauty Products
TranT78,"Groceries, Gardening Supplies, Clothes, Furniture"
TranT79,Bedding
TranT80,Bedding
TranT81,"Electronics, Groceries"
TranT82,"Cleaning Supplies, Stationery, Gardening Supplies"
TranT83,"Toys, Bedding"
TranT84,"Stationery, Clothes, Groceries, Toys"
TranT85,"Electronics, Groceries, Cleaning Supplies, Gardening Supplies"
